date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:27	724/724	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jun%202015%2020:46:11%20GMT	http://fickle.aimmate.com/robots.txt		(from )
17:36:27	57558/57558	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202015%2021:16:59%20GMT	http://fickle.aimmate.com/	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/index.html	(from )
17:36:28	3454/3454	---M--	200	added ('OK')	image/png	etag:%22558dbdf5-d7e%22	http://fickle.aimmate.com/assets/images/ios/fickle-logo-72.png	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/images/ios/fickle-logo-72.png	(from http://fickle.aimmate.com/)
17:36:28	5157/5157	---M--	200	added ('OK')	image/png	etag:%22558dbdf5-1425%22	http://fickle.aimmate.com/assets/images/ios/fickle-logo-114.png	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/images/ios/fickle-logo-114.png	(from http://fickle.aimmate.com/)
17:36:28	1390/1390	---M--	200	added ('OK')	image/x-icon	etag:%22558dbdf5-56e%22	http://fickle.aimmate.com/assets/images/ico/fab.ico	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/images/ico/fab.ico	(from http://fickle.aimmate.com/)
17:36:29	6651/6651	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/pace.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/pace.css	(from http://fickle.aimmate.com/)
17:36:30	12284/12284	---M--	200	added ('OK')	application/javascript	etag:%22558dbdf5-2ffc%22	http://fickle.aimmate.com/assets/js/pace.min.js	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/js/pace.min.js	(from http://fickle.aimmate.com/)
17:36:30	109518/109518	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/bootstrap.min.css	(from http://fickle.aimmate.com/)
17:36:30	4744/4744	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/bootstrap-progressbar-3.1.1.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/bootstrap-progressbar-3.1.1.css	(from http://fickle.aimmate.com/)
17:36:31	716/716	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/jquery-jvectormap.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/jquery-jvectormap.css	(from http://fickle.aimmate.com/)
17:36:31	804/804	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/jquery.amaran.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/jquery.amaran.css	(from http://fickle.aimmate.com/)
17:36:32	3179/3179	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/all-themes.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/all-themes.css	(from http://fickle.aimmate.com/)
17:36:32	1669/1669	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/awesome.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/awesome.css	(from http://fickle.aimmate.com/)
17:36:32	1818/1818	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/default.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/default.css	(from http://fickle.aimmate.com/)
17:36:33	644/644	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/blur.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/blur.css	(from http://fickle.aimmate.com/)
17:36:33	761/761	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/user.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/user.css	(from http://fickle.aimmate.com/)
17:36:33	202/202	---M--	200	added ('OK')	text/css	etag:%22558dbdf5-ca%22	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/rounded.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/rounded.css	(from http://fickle.aimmate.com/)
17:36:34	617/617	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202015%2021:02:45%20GMT	http://fickle.aimmate.com/assets/css/plugins/amaranjs/theme/readmore.css	C:/My%20Web%20Sites/FICKLE/fickle.aimmate.com/assets/css/plugins/amaranjs/theme/readmore.css	(from http://fickle.aimmate.com/)
